index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,begin_month,credit,before_employed,house_owner
50,0,1,0,1,90000.0,4,4,1,1,38.221917808219175,3.0164383561643837,1,1,0,0,15,3.0,4.0,2.0,35.20547945205479,True
51,1,1,1,0,495000.0,4,2,1,5,24.43013698630137,3.0164383561643837,1,0,0,1,4,2.0,10.0,2.0,21.413698630136988,True
52,0,0,1,0,54000.0,1,4,1,1,65.87397260273973,0.0,1,0,1,0,12,2.0,37.0,2.0,65.87397260273973,True
53,0,1,1,2,306000.0,2,1,1,1,37.0986301369863,10.863013698630137,1,0,0,0,3,4.0,42.0,2.0,26.235616438356164,True
54,0,0,0,1,99000.0,4,4,1,1,42.81095890410959,1.1561643835616437,1,0,0,0,12,3.0,2.0,1.0,41.654794520547945,True
55,0,0,1,0,180000.0,4,4,1,1,37.961643835616435,8.246575342465754,1,0,0,0,8,2.0,24.0,2.0,29.71506849315068,True
56,0,1,1,0,130500.0,4,4,1,1,44.21095890410959,25.72876712328767,1,0,1,0,8,2.0,29.0,2.0,18.482191780821918,True
57,0,0,1,0,225000.0,0,1,3,1,46.66027397260274,1.7589041095890412,1,0,0,0,3,1.0,3.0,1.0,44.9013698630137,True
58,0,0,1,0,144000.0,1,4,1,1,63.92876712328767,0.0,1,0,0,0,12,2.0,23.0,2.0,63.92876712328767,True
59,0,0,1,0,360000.0,1,1,1,1,62.97260273972603,0.0,1,0,1,0,12,2.0,25.0,2.0,62.97260273972603,True
60,1,1,1,0,112500.0,1,4,2,1,58.62191780821918,0.0,1,0,0,0,12,1.0,1.0,1.0,58.62191780821918,True
61,1,1,0,1,270000.0,0,1,1,1,31.15890410958904,3.756164383561644,1,0,0,0,10,3.0,15.0,2.0,27.4027397260274,True
62,0,1,1,0,225000.0,4,1,1,1,47.676712328767124,8.638356164383561,1,0,1,0,3,2.0,40.0,1.0,39.038356164383565,True
63,1,1,1,0,315000.0,4,1,1,1,42.701369863013696,9.142465753424657,1,0,0,0,10,2.0,21.0,2.0,33.55890410958904,True
64,1,1,0,0,67500.0,0,4,3,2,24.786301369863015,1.9616438356164383,1,0,0,0,17,1.0,32.0,2.0,22.824657534246576,True
65,0,0,1,0,40500.0,4,4,1,1,34.87397260273973,13.523287671232877,1,1,0,0,1,2.0,10.0,2.0,21.350684931506848,True
66,1,0,1,1,144000.0,4,4,1,1,37.701369863013696,7.624657534246575,1,0,0,0,8,3.0,4.0,1.0,30.076712328767123,True
67,0,0,1,2,157500.0,0,1,1,1,33.24657534246575,3.3315068493150686,1,0,0,0,6,4.0,2.0,1.0,29.915068493150685,True
68,0,0,0,0,180000.0,4,4,1,1,28.243835616438357,4.410958904109589,1,0,0,0,8,2.0,14.0,1.0,23.83287671232877,True
69,0,0,1,0,157500.0,4,1,1,1,42.36164383561644,8.134246575342466,1,0,0,1,11,2.0,59.0,2.0,34.227397260273975,True
70,1,0,1,0,81000.0,0,1,3,1,27.052054794520547,5.282191780821917,1,0,1,0,8,1.0,39.0,2.0,21.76986301369863,True
71,1,1,0,2,202500.0,4,4,1,1,43.57260273972603,10.375342465753425,1,0,0,0,8,4.0,54.0,2.0,33.1972602739726,True
72,0,0,0,0,351000.0,0,1,1,1,59.106849315068494,2.9616438356164383,1,0,1,0,12,2.0,4.0,2.0,56.14520547945206,True
73,0,0,1,0,180000.0,1,4,1,1,63.75068493150685,0.0,1,0,1,0,12,2.0,34.0,2.0,63.75068493150685,True
74,0,0,1,1,67500.0,4,4,1,1,28.356164383561644,0.6,1,1,1,0,15,3.0,25.0,2.0,27.756164383561643,True
75,0,1,1,0,315000.0,0,4,1,1,42.88493150684931,15.068493150684931,1,0,0,1,3,2.0,34.0,2.0,27.816438356164383,True
76,0,1,0,0,315000.0,0,1,1,1,37.14246575342466,1.6054794520547946,1,1,1,0,12,2.0,15.0,2.0,35.536986301369865,True
77,0,0,0,0,135000.0,4,1,3,1,26.898630136986302,1.4246575342465753,1,0,0,0,3,1.0,7.0,1.0,25.473972602739728,True
78,0,1,1,0,112500.0,4,4,1,1,34.76712328767123,0.6328767123287671,1,1,0,0,15,2.0,23.0,1.0,34.134246575342466,True
79,0,1,1,1,225000.0,4,1,2,1,40.59178082191781,4.580821917808219,1,0,0,0,3,2.0,2.0,0.0,36.010958904109586,True
80,0,0,1,0,247500.0,0,4,0,1,48.93698630136986,0.5808219178082191,1,0,0,0,8,2.0,2.0,1.0,48.35616438356164,True
81,1,1,1,0,135000.0,4,4,1,1,28.257534246575343,2.6356164383561644,1,0,0,1,15,2.0,-0.0,0.0,25.62191780821918,True
82,0,1,1,0,216000.0,4,1,0,1,41.846575342465755,3.8986301369863012,1,0,0,1,0,2.0,53.0,2.0,37.947945205479456,True
83,0,0,0,2,180000.0,4,1,1,1,32.61643835616438,4.657534246575342,1,0,0,0,6,4.0,38.0,1.0,27.95890410958904,True
84,1,1,1,0,135000.0,1,4,1,1,64.55616438356165,0.0,1,0,1,0,12,2.0,27.0,2.0,64.55616438356165,True
85,1,1,0,0,184500.0,4,4,1,2,49.35068493150685,3.328767123287671,1,0,0,0,8,2.0,41.0,1.0,46.02191780821918,True
86,1,1,1,1,112500.0,4,4,1,1,34.441095890410956,1.2356164383561643,1,1,0,1,4,3.0,45.0,2.0,33.20547945205479,True
87,0,0,1,0,270000.0,0,4,4,1,36.35616438356164,0.6438356164383562,1,1,1,1,3,1.0,56.0,2.0,35.71232876712328,True
88,0,1,1,0,360000.0,0,4,1,1,55.92328767123288,14.868493150684932,1,0,0,0,10,2.0,45.0,2.0,41.054794520547944,True
89,1,0,0,0,450000.0,0,2,1,1,39.63013698630137,11.356164383561644,1,1,1,0,10,2.0,59.0,2.0,28.27397260273973,True
90,0,0,1,0,45000.0,2,4,1,1,55.342465753424655,25.764383561643836,1,1,0,0,1,2.0,30.0,2.0,29.57808219178082,True
91,0,1,1,0,202500.0,4,4,1,1,51.35342465753425,8.186301369863013,1,0,0,0,13,2.0,20.0,2.0,43.16712328767123,True
92,1,1,1,1,135000.0,0,4,1,1,33.397260273972606,1.893150684931507,1,0,0,0,8,3.0,5.0,2.0,31.5041095890411,True
93,0,0,1,0,202500.0,0,4,3,1,52.2,9.942465753424658,1,0,0,0,6,1.0,22.0,1.0,42.25753424657535,True
94,0,0,1,0,180000.0,1,4,1,1,65.12328767123287,0.0,1,0,0,0,12,2.0,26.0,2.0,65.12328767123287,True
95,1,0,1,0,79650.0,1,4,1,1,44.057534246575344,0.0,1,0,1,0,12,2.0,14.0,2.0,44.057534246575344,True
96,1,0,1,0,450000.0,0,4,1,1,64.86027397260274,5.717808219178083,1,0,0,0,17,2.0,56.0,2.0,59.14246575342466,True
97,1,1,1,0,157500.0,4,4,0,1,25.67945205479452,3.3205479452054796,1,0,0,0,4,2.0,46.0,2.0,22.35890410958904,True
98,1,1,1,0,450000.0,0,1,3,1,29.69041095890411,1.610958904109589,1,0,0,1,15,1.0,5.0,2.0,28.079452054794523,True
99,0,0,0,0,270000.0,2,4,2,1,53.04931506849315,33.78630136986301,1,0,1,1,11,1.0,35.0,2.0,19.26301369863014,True
100,0,0,1,0,135000.0,4,1,1,1,60.58082191780822,23.263013698630136,1,0,0,0,13,2.0,9.0,2.0,37.31780821917809,True
101,0,0,1,0,81000.0,4,4,1,1,53.865753424657534,8.345205479452055,1,1,1,0,10,2.0,2.0,1.0,45.52054794520548,True
102,0,0,0,1,135000.0,0,4,1,1,33.61369863013699,1.6547945205479453,1,0,0,0,10,3.0,12.0,2.0,31.958904109589042,True
103,1,1,0,0,315000.0,4,1,1,1,43.35616438356164,10.191780821917808,1,1,1,0,10,2.0,12.0,2.0,33.16438356164383,True
104,1,1,1,0,225000.0,0,1,3,1,43.81917808219178,6.950684931506849,1,0,1,0,15,1.0,7.0,0.0,36.868493150684934,True
105,1,1,1,0,135000.0,0,4,1,1,27.353424657534248,7.13972602739726,1,0,0,0,8,2.0,5.0,2.0,20.21369863013699,True
106,0,0,0,1,90000.0,4,4,1,1,44.15890410958904,5.367123287671233,1,0,1,0,12,3.0,47.0,2.0,38.791780821917804,True
107,0,1,0,1,306000.0,4,1,1,1,25.506849315068493,4.597260273972603,1,0,0,0,12,3.0,4.0,1.0,20.90958904109589,True
108,0,0,1,0,153000.0,4,1,3,1,29.484931506849314,1.8712328767123287,1,0,1,0,3,1.0,22.0,2.0,27.613698630136984,True
109,0,0,1,0,126000.0,4,4,1,1,62.49589041095891,6.120547945205479,1,1,1,0,6,2.0,13.0,2.0,56.37534246575343,True
110,1,1,1,0,315000.0,0,1,1,1,35.1945205479452,0.44931506849315067,1,0,0,0,10,2.0,57.0,2.0,34.74520547945205,True
111,1,1,1,1,225000.0,4,4,1,1,44.31506849315068,6.495890410958904,1,0,0,0,4,3.0,44.0,2.0,37.819178082191776,True
112,0,0,0,0,193500.0,4,4,3,1,48.83835616438356,0.5506849315068493,1,0,1,0,8,1.0,4.0,2.0,48.28767123287671,True
113,0,0,1,2,90000.0,0,4,1,1,47.62739726027397,3.117808219178082,1,0,0,0,2,4.0,36.0,1.0,44.50958904109589,True
114,1,1,1,2,135000.0,4,1,1,1,31.682191780821917,8.065753424657535,1,0,0,1,10,4.0,43.0,2.0,23.61643835616438,True
115,0,0,0,0,81000.0,1,4,1,1,57.31506849315068,0.0,1,0,0,0,12,2.0,49.0,2.0,57.31506849315068,True
116,0,1,1,1,382500.0,4,4,1,1,39.224657534246575,7.536986301369863,1,0,0,0,10,3.0,11.0,2.0,31.68767123287671,True
117,0,0,1,0,202500.0,0,4,1,1,44.30958904109589,1.8465753424657534,1,0,0,0,15,2.0,27.0,2.0,42.463013698630135,True
118,0,0,1,0,112500.0,4,1,1,1,50.02465753424657,15.76986301369863,1,0,1,0,15,2.0,47.0,2.0,34.25479452054794,True
119,0,0,1,2,144000.0,4,4,1,1,33.95342465753425,5.079452054794521,1,1,1,0,2,4.0,-0.0,1.0,28.873972602739727,True
120,0,0,1,0,157500.0,1,4,4,1,58.895890410958906,0.0,1,0,0,0,12,1.0,4.0,1.0,58.895890410958906,True
121,0,0,0,0,144000.0,4,4,1,2,45.59178082191781,27.364383561643837,1,1,1,0,15,2.0,35.0,2.0,18.22739726027397,True
122,0,1,1,2,283500.0,2,1,1,1,35.347945205479455,11.287671232876713,1,0,0,0,3,4.0,39.0,2.0,24.060273972602744,True
123,0,0,1,0,202500.0,4,4,1,1,53.23561643835617,17.057534246575344,1,0,0,0,6,2.0,48.0,2.0,36.178082191780824,True
124,0,1,1,2,90000.0,0,4,1,1,42.534246575342465,9.197260273972603,1,0,0,0,0,4.0,55.0,2.0,33.33698630136986,True
125,1,0,1,0,360000.0,0,4,1,1,34.2,11.065753424657535,1,0,0,0,10,2.0,42.0,2.0,23.134246575342466,True
126,0,1,0,1,175500.0,0,4,3,2,32.07945205479452,13.652054794520549,1,0,0,0,8,2.0,45.0,2.0,18.427397260273974,True
127,1,1,1,1,360000.0,0,1,1,1,45.30684931506849,1.1232876712328768,1,0,1,1,8,3.0,30.0,2.0,44.18356164383562,True
128,0,0,1,1,112500.0,4,4,1,1,37.64657534246575,14.304109589041095,1,0,0,0,8,3.0,38.0,1.0,23.342465753424655,True
129,1,0,0,1,315000.0,4,4,1,1,48.04657534246575,4.791780821917809,1,0,0,0,8,3.0,11.0,2.0,43.25479452054794,True
130,0,0,1,0,297000.0,0,4,3,4,42.51780821917808,8.860273972602739,1,0,0,0,8,1.0,1.0,0.0,33.65753424657534,False
131,0,1,0,0,202500.0,0,4,0,5,38.98082191780822,14.602739726027398,1,0,1,0,12,2.0,33.0,0.0,24.378082191780823,True
132,0,0,0,0,225000.0,0,1,1,1,28.92876712328767,1.1753424657534246,1,1,1,0,4,2.0,35.0,2.0,27.753424657534246,True
133,0,1,0,1,387000.0,4,1,1,1,36.07671232876712,7.052054794520548,1,0,0,0,10,3.0,22.0,2.0,29.024657534246575,True
134,0,1,1,0,135000.0,1,4,4,1,62.989041095890414,0.0,1,0,0,0,12,1.0,6.0,2.0,62.989041095890414,True
135,1,1,0,1,337500.0,0,1,2,1,42.00821917808219,0.536986301369863,1,0,1,0,10,2.0,23.0,0.0,41.47123287671233,True
136,0,0,0,1,225000.0,0,4,0,1,34.63013698630137,1.093150684931507,1,0,0,0,0,3.0,29.0,2.0,33.536986301369865,True
137,0,1,1,1,225000.0,0,4,1,1,37.23561643835617,8.893150684931507,1,0,0,0,15,3.0,46.0,2.0,28.342465753424662,True
138,0,0,1,0,54000.0,1,4,1,1,66.75890410958904,0.0,1,0,0,0,12,2.0,2.0,0.0,66.75890410958904,True
139,0,1,0,0,157500.0,0,4,1,1,37.23287671232877,2.6904109589041094,1,0,1,0,12,2.0,39.0,2.0,34.54246575342466,True
140,1,1,1,1,180000.0,4,1,1,5,32.64931506849315,4.602739726027397,1,1,0,0,8,3.0,15.0,0.0,28.046575342465754,True
141,0,1,1,1,112500.0,0,1,0,1,28.90684931506849,8.219178082191782,1,0,0,1,3,3.0,12.0,2.0,20.68767123287671,True
142,1,1,1,0,360000.0,4,1,1,1,61.52328767123288,5.298630136986302,1,0,1,0,10,2.0,11.0,2.0,56.224657534246575,True
143,0,1,1,0,256500.0,0,4,1,1,37.865753424657534,2.9342465753424656,1,0,0,1,3,2.0,45.0,2.0,34.93150684931507,True
144,0,1,0,0,180000.0,4,4,1,1,28.35890410958904,3.621917808219178,1,0,0,0,12,2.0,8.0,2.0,24.736986301369864,True
145,0,1,0,0,202500.0,2,4,1,1,53.69315068493151,32.71232876712329,1,0,1,0,11,2.0,7.0,2.0,20.98082191780822,True
146,0,0,0,0,247500.0,4,1,1,1,38.728767123287675,20.273972602739725,1,1,1,0,10,2.0,6.0,1.0,18.45479452054795,True
147,0,0,1,0,157500.0,4,1,1,1,34.74246575342466,1.9424657534246574,1,0,0,0,15,2.0,11.0,1.0,32.800000000000004,True
148,1,1,1,0,225000.0,4,4,1,1,39.71506849315068,2.213698630136986,1,0,1,0,12,2.0,26.0,2.0,37.50136986301369,True
149,0,0,1,2,112500.0,4,4,1,1,35.54520547945206,6.517808219178082,1,0,0,0,8,4.0,49.0,1.0,29.027397260273975,True
150,0,1,0,1,157500.0,4,1,1,1,32.602739726027394,7.747945205479452,1,0,0,0,8,3.0,41.0,2.0,24.85479452054794,True
151,1,1,1,0,360000.0,0,4,1,1,42.038356164383565,0.8602739726027397,1,0,0,0,4,2.0,33.0,2.0,41.178082191780824,True
152,0,1,1,0,360000.0,4,4,2,1,29.03287671232877,1.5726027397260274,1,1,0,0,11,1.0,35.0,2.0,27.460273972602742,True
153,1,1,1,0,180000.0,0,4,1,1,49.24657534246575,9.523287671232877,1,0,0,0,4,2.0,32.0,1.0,39.723287671232875,True
154,0,0,0,0,175500.0,4,4,1,1,51.69315068493151,30.117808219178084,1,1,0,0,12,2.0,46.0,2.0,21.575342465753426,True
155,0,0,1,0,90000.0,1,4,1,1,55.78630136986301,0.0,1,0,0,0,12,2.0,35.0,2.0,55.78630136986301,True
156,1,0,1,1,135000.0,4,4,2,1,45.83013698630137,2.410958904109589,1,0,0,0,8,2.0,38.0,2.0,43.41917808219178,True
157,1,0,1,2,157500.0,4,4,1,1,27.635616438356163,3.9643835616438357,1,0,0,0,12,4.0,44.0,2.0,23.671232876712327,True
158,1,0,1,1,202500.0,2,1,1,1,29.46849315068493,6.4520547945205475,1,0,0,0,3,3.0,39.0,2.0,23.016438356164386,True
159,0,0,1,0,153000.0,1,1,1,1,59.9972602739726,0.0,1,0,1,0,12,2.0,51.0,1.0,59.9972602739726,True
160,0,1,1,1,72000.0,4,4,1,1,46.94794520547945,3.4684931506849317,1,0,0,0,15,3.0,11.0,2.0,43.47945205479452,True
161,1,1,1,2,360000.0,4,4,1,1,36.89041095890411,2.2986301369863016,1,0,1,0,10,4.0,33.0,0.0,34.59178082191781,True
162,0,0,0,1,540000.0,4,4,2,1,44.95616438356164,5.602739726027397,1,1,0,0,10,2.0,60.0,2.0,39.35342465753425,True
163,0,0,1,0,155250.0,1,4,1,1,60.394520547945206,0.0,1,0,0,0,12,2.0,24.0,2.0,60.394520547945206,True
164,1,1,1,0,189000.0,4,4,1,1,57.02739726027397,2.271232876712329,1,0,0,1,17,2.0,3.0,1.0,54.75616438356164,True
165,0,0,1,0,139500.0,2,1,1,1,57.58082191780822,2.452054794520548,1,1,1,0,12,2.0,4.0,1.0,55.12876712328767,True
166,0,0,1,0,495000.0,1,4,4,1,59.16712328767123,0.0,1,0,1,0,12,1.0,15.0,2.0,59.16712328767123,True
167,1,1,0,0,459000.0,0,4,1,1,43.78082191780822,0.32602739726027397,1,1,1,0,4,2.0,14.0,2.0,43.45479452054794,True
168,0,0,0,0,157500.0,4,4,1,1,53.97808219178082,27.041095890410958,1,1,1,0,12,2.0,21.0,1.0,26.936986301369863,True
169,0,0,1,1,225000.0,4,4,2,1,38.56712328767123,10.389041095890411,1,0,0,0,12,2.0,3.0,1.0,28.178082191780817,True
170,1,1,1,1,450000.0,0,4,1,1,49.78904109589041,1.8575342465753424,1,0,1,1,3,3.0,60.0,2.0,47.93150684931507,True
171,0,0,0,0,135000.0,4,4,1,1,42.463013698630135,2.3808219178082193,1,0,0,0,13,2.0,2.0,0.0,40.082191780821915,True
172,1,0,1,1,135000.0,4,4,1,1,43.320547945205476,22.167123287671235,1,0,0,0,12,3.0,49.0,1.0,21.15342465753424,True
173,0,0,1,0,189000.0,1,4,1,1,63.24931506849315,0.0,1,0,0,0,12,2.0,19.0,0.0,63.24931506849315,True
174,0,0,1,0,225000.0,0,1,1,1,29.465753424657535,2.8493150684931505,1,0,0,1,15,2.0,15.0,2.0,26.616438356164384,True
175,1,0,1,0,112500.0,4,4,1,1,29.328767123287673,3.76986301369863,1,0,0,0,4,2.0,2.0,1.0,25.558904109589044,True
176,0,1,0,0,315000.0,2,1,1,1,49.15068493150685,27.279452054794522,1,1,0,0,10,2.0,26.0,2.0,21.87123287671233,True
177,0,0,0,0,157500.0,0,1,3,4,32.28767123287671,3.8767123287671232,1,0,0,0,12,1.0,22.0,1.0,28.410958904109588,False
178,1,0,0,0,126000.0,1,4,1,1,55.583561643835615,0.0,1,0,0,0,12,2.0,12.0,2.0,55.583561643835615,True
179,1,1,1,0,315000.0,0,4,1,4,46.54794520547945,5.550684931506849,1,0,0,0,4,2.0,19.0,2.0,40.9972602739726,False
180,0,1,1,0,720000.0,0,1,2,1,56.961643835616435,13.189041095890412,1,1,1,0,10,1.0,58.0,2.0,43.772602739726025,True
181,0,0,1,0,90000.0,1,4,1,1,56.76164383561644,0.0,1,0,0,0,12,2.0,5.0,0.0,56.76164383561644,True
182,0,0,1,2,67500.0,4,1,1,1,28.167123287671235,2.632876712328767,1,1,0,0,12,4.0,12.0,0.0,25.53424657534247,True
183,0,0,1,0,157500.0,1,4,1,1,62.632876712328766,0.0,1,0,1,0,12,2.0,42.0,1.0,62.632876712328766,True
184,1,1,0,0,225000.0,4,4,1,3,41.347945205479455,2.7260273972602738,1,0,0,1,4,2.0,46.0,2.0,38.62191780821918,True
185,0,0,1,0,180000.0,4,3,4,1,46.035616438356165,6.101369863013699,1,1,1,0,1,1.0,49.0,2.0,39.93424657534246,True
186,0,1,1,0,216000.0,4,1,1,1,50.76438356164383,4.956164383561644,1,0,0,0,16,2.0,10.0,2.0,45.80821917808219,True
187,0,1,1,1,157500.0,0,4,1,1,37.89041095890411,11.613698630136986,1,0,0,0,8,3.0,4.0,1.0,26.276712328767125,True
188,0,0,0,0,112500.0,1,4,4,1,54.868493150684934,0.0,1,0,0,0,12,1.0,26.0,0.0,54.868493150684934,True
189,0,0,1,0,112500.0,4,4,1,1,45.40547945205479,12.531506849315068,1,0,0,0,12,2.0,44.0,2.0,32.87397260273973,True
190,0,0,1,0,90000.0,1,4,3,1,63.73150684931507,0.0,1,0,1,0,12,1.0,13.0,0.0,63.73150684931507,True
191,0,0,0,0,121500.0,1,4,1,1,58.38356164383562,0.0,1,0,0,0,12,2.0,28.0,2.0,58.38356164383562,True
192,0,0,1,0,135000.0,4,1,1,1,36.43561643835616,4.46027397260274,1,0,0,0,8,2.0,14.0,2.0,31.975342465753425,True
193,1,1,0,0,202500.0,0,4,1,1,44.44931506849315,7.052054794520548,1,0,0,0,17,2.0,22.0,0.0,37.3972602739726,True
194,1,1,0,1,252000.0,2,1,1,1,34.2,4.52054794520548,1,1,1,0,6,3.0,19.0,1.0,29.679452054794524,True
